id,id_cargadescarga,id_equipo,id_palas,id_palanext,tiem_llegada,tiem_esperando,tiem_cuadra,tiem_cuadra,tiem_cuadrado,tiem_carga,tiem_acarreo,tiem_cola,tiem_retro,tiem_listo,tiem_descarga,tiem_viajando
1404643,1404643,34,1558905,71,2023-01-02 15:07:09.766000+00:00,2023-01-02 15:08:09.778000+00:00,2023-01-02 15:08:09.778000+00:00,2023-01-02 15:08:09.778000+00:00,2023-01-02 15:08:37.784000+00:00,2023-01-02 15:12:25.844000+00:00,2023-01-02 15:15:39.879000+00:00,2023-01-02 15:23:15.951000+00:00,2023-01-02 15:23:23.952000+00:00,2023-01-02 15:23:39.960000+00:00,2023-01-02 15:24:01.961000+00:00,2023-01-02 15:24:41.967000+00:00
1404661,1404661,34,1558923,69,2023-01-02 15:32:28.071000+00:00,2023-01-02 15:32:28.071000+00:00,2023-01-02 15:32:36.071000+00:00,2023-01-02 15:32:36.071000+00:00,2023-01-02 15:33:00.074000+00:00,2023-01-02 15:33:10.074000+00:00,2023-01-02 15:35:22.102000+00:00,2023-01-02 15:51:58.256000+00:00,2023-01-02 15:52:02.257000+00:00,2023-01-02 15:52:28.261000+00:00,2023-01-02 15:52:52.267000+00:00,2023-01-02 15:53:32.274000+00:00
1404693,1404693,34,1558957,70,2023-01-02 16:02:48.390000+00:00,2023-01-02 16:02:48.390000+00:00,2023-01-02 16:02:48.390000+00:00,2023-01-02 16:02:48.390000+00:00,2023-01-02 16:03:46.392000+00:00,2023-01-02 16:05:04.404000+00:00,2023-01-02 16:07:44.446000+00:00,2023-01-02 16:16:42.542000+00:00,2023-01-02 16:16:50.542000+00:00,2023-01-02 16:17:06.543000+00:00,2023-01-02 16:17:24.546000+00:00,2023-01-02 16:18:14.554000+00:00
1404917,1404917,34,1559208,70,2023-01-02 20:36:47.886277+00:00,2023-01-02 20:43:23.381000+00:00,2023-01-02 20:43:23.381000+00:00,2023-01-02 20:43:23.381000+00:00,2023-01-02 20:43:39.385000+00:00,2023-01-02 20:46:15.404000+00:00,2023-01-02 20:49:21.443000+00:00,2023-01-02 20:54:29.482000+00:00,2023-01-02 20:54:37.486000+00:00,2023-01-02 20:54:55.486000+00:00,2023-01-02 20:55:13.489000+00:00,2023-01-02 20:55:59.493000+00:00
1404933,1404933,34,1559223,70,2023-01-02 20:59:53.553000+00:00,2023-01-02 21:00:39.562000+00:00,2023-01-02 21:00:39.562000+00:00,2023-01-02 21:00:39.562000+00:00,2023-01-02 21:00:55.564000+00:00,2023-01-02 21:02:49.591000+00:00,2023-01-02 21:05:45.625000+00:00,2023-01-02 21:10:53.666000+00:00,2023-01-02 21:11:03.673000+00:00,2023-01-02 21:11:15.671000+00:00,2023-01-02 21:11:31.671000+00:00,2023-01-02 21:12:13.680000+00:00
1404951,1404951,34,1559239,69,2023-01-02 21:15:27.895196+00:00,2023-01-02 21:18:01.745000+00:00,2023-01-02 21:18:01.745000+00:00,2023-01-02 21:18:01.745000+00:00,2023-01-02 21:18:57.757000+00:00,2023-01-02 21:21:05.779000+00:00,2023-01-02 21:23:57.815000+00:00,2023-01-02 21:31:27.862000+00:00,2023-01-02 21:31:35.865000+00:00,2023-01-02 21:31:47.868000+00:00,2023-01-02 21:32:07.869000+00:00,2023-01-02 21:32:53.882000+00:00
1404966,1404966,34,1559262,71,2023-01-02 21:37:49.176056+00:00,2023-01-02 21:45:07.984000+00:00,2023-01-02 21:45:07.984000+00:00,2023-01-02 21:45:07.984000+00:00,2023-01-02 21:45:21.985000+00:00,2023-01-02 21:48:38.026000+00:00,2023-01-02 21:51:52.068000+00:00,2023-01-02 21:59:24.163000+00:00,2023-01-02 21:59:32.164000+00:00,2023-01-02 21:59:46.168000+00:00,2023-01-02 22:00:04.171000+00:00,2023-01-02 22:00:40.177000+00:00
1404995,1404995,34,1559285,71,2023-01-02 22:10:42.313000+00:00,2023-01-02 22:10:42.313000+00:00,2023-01-02 22:10:52.312000+00:00,2023-01-02 22:10:52.312000+00:00,2023-01-02 22:11:04.312000+00:00,2023-01-02 22:12:00.317000+00:00,2023-01-02 22:13:46.328000+00:00,2023-01-02 22:32:40.378000+00:00,2023-01-02 22:32:44.381000+00:00,2023-01-02 22:33:08.389000+00:00,2023-01-02 22:33:28.391000+00:00,2023-01-02 22:34:06.392000+00:00
1405025,1405025,34,1559318,69,2023-01-02 22:41:16.915975+00:00,2023-01-02 22:42:58.465000+00:00,2023-01-02 22:42:58.465000+00:00,2023-01-02 22:42:58.465000+00:00,2023-01-02 22:43:24.466000+00:00,2023-01-02 22:46:06.496000+00:00,2023-01-02 22:48:34.529000+00:00,2023-01-02 23:06:28.656000+00:00,2023-01-02 23:06:30.656000+00:00,2023-01-02 23:06:54.661000+00:00,2023-01-02 23:07:10.661000+00:00,2023-01-02 23:07:46.669000+00:00
1405061,1405061,34,1559353,70,2023-01-02 23:18:43.754043+00:00,2023-01-02 23:20:02.811000+00:00,2023-01-02 23:20:02.811000+00:00,2023-01-02 23:20:02.811000+00:00,2023-01-02 23:20:32.811000+00:00,2023-01-02 23:21:50.832000+00:00,2023-01-02 23:24:26.843000+00:00,2023-01-02 23:31:50.917000+00:00,2023-01-02 23:31:52.918000+00:00,2023-01-02 23:32:12.918000+00:00,2023-01-02 23:32:32.923000+00:00,2023-01-02 23:33:10.931000+00:00
1405097,1405097,34,1559389,70,2023-01-03 00:17:58.526000+00:00,2023-01-03 00:18:18.529000+00:00,2023-01-03 00:18:18.529000+00:00,2023-01-03 00:18:18.529000+00:00,2023-01-03 00:18:44.537000+00:00,2023-01-03 00:19:34.544000+00:00,2023-01-03 00:22:18.575000+00:00,2023-01-03 00:28:16.631000+00:00,2023-01-03 00:28:20.631000+00:00,2023-01-03 00:28:40.632000+00:00,2023-01-03 00:29:00.635000+00:00,2023-01-03 00:30:02.647000+00:00
1405111,1405111,34,1559404,71,2023-01-03 00:33:08.676000+00:00,2023-01-03 00:33:08.676000+00:00,2023-01-03 00:33:24.679000+00:00,2023-01-03 00:33:24.679000+00:00,2023-01-03 00:33:38.680000+00:00,2023-01-03 00:34:06.688000+00:00,2023-01-03 00:36:36.711000+00:00,2023-01-03 00:41:44.765000+00:00,2023-01-03 00:41:52.765000+00:00,2023-01-03 00:42:12.767000+00:00,2023-01-03 00:42:32.768000+00:00,2023-01-03 00:43:14.773000+00:00
1405132,1405132,34,1559426,71,2023-01-03 00:53:56.915000+00:00,2023-01-03 00:53:56.915000+00:00,2023-01-03 00:54:04.915000+00:00,2023-01-03 00:54:04.915000+00:00,2023-01-03 00:54:20.919000+00:00,2023-01-03 00:54:52.924000+00:00,2023-01-03 00:56:40.945000+00:00,2023-01-03 01:14:35.134000+00:00,2023-01-03 01:14:41.135000+00:00,2023-01-03 01:15:09.148000+00:00,2023-01-03 01:15:27.149000+00:00,2023-01-03 01:16:15.156000+00:00
1405161,1405161,34,1559454,70,2023-01-03 01:24:11.247000+00:00,2023-01-03 01:24:11.247000+00:00,2023-01-03 01:24:15.248000+00:00,2023-01-03 01:24:15.248000+00:00,2023-01-03 01:24:35.249000+00:00,2023-01-03 01:25:09.250000+00:00,2023-01-03 01:26:33.265000+00:00,2023-01-03 01:41:29.397000+00:00,2023-01-03 01:41:37.398000+00:00,2023-01-03 01:41:53.399000+00:00,2023-01-03 01:42:15.405000+00:00,2023-01-03 01:42:51.413000+00:00
1405182,1405182,34,1559479,72,2023-01-03 01:47:21.468000+00:00,2023-01-03 01:47:43.472000+00:00,2023-01-03 01:47:43.472000+00:00,2023-01-03 01:47:43.472000+00:00,2023-01-03 01:48:09.474000+00:00,2023-01-03 01:48:45.479000+00:00,2023-01-03 01:50:37.537000+00:00,2023-01-03 01:58:25.596000+00:00,2023-01-03 01:58:35.598000+00:00,2023-01-03 01:58:51.601000+00:00,2023-01-03 01:59:11.603000+00:00,2023-01-03 02:00:01.604000+00:00
1405205,1405205,34,1559499,72,2023-01-03 02:14:03.769000+00:00,2023-01-03 02:14:03.769000+00:00,2023-01-03 02:14:03.769000+00:00,2023-01-03 02:14:03.769000+00:00,2023-01-03 02:14:03.769000+00:00,2023-01-03 02:14:03.769000+00:00,2023-01-03 02:16:47.787000+00:00,2023-01-03 02:21:53.822000+00:00,2023-01-03 02:21:53.822000+00:00,2023-01-03 02:22:17.828000+00:00,2023-01-03 02:29:13.872000+00:00,2023-01-03 02:30:03.877000+00:00
1405227,1405227,34,1559520,71,2023-01-03 02:38:33.968000+00:00,2023-01-03 02:38:33.968000+00:00,2023-01-03 02:38:33.968000+00:00,2023-01-03 02:38:33.968000+00:00,2023-01-03 02:38:49.971000+00:00,2023-01-03 02:39:31.976000+00:00,2023-01-03 02:42:26.008000+00:00,2023-01-03 02:47:34.063000+00:00,2023-01-03 02:47:34.063000+00:00,2023-01-03 02:47:56.066000+00:00,2023-01-03 02:52:04.106000+00:00,2023-01-03 02:52:50.113000+00:00
1405251,1405251,34,1559544,70,2023-01-03 03:00:51.985792+00:00,2023-01-03 03:00:51.985792+00:00,2023-01-03 03:01:22.236000+00:00,2023-01-03 03:01:22.236000+00:00,2023-01-03 03:01:40.238000+00:00,2023-01-03 03:02:16.240000+00:00,2023-01-03 03:04:12.262000+00:00,2023-01-03 03:21:54.443000+00:00,2023-01-03 03:21:58.442000+00:00,2023-01-03 03:22:20.445000+00:00,2023-01-03 03:22:48.445000+00:00,2023-01-03 03:24:24.465000+00:00
1405277,1405277,34,1559573,117,2023-01-03 03:32:46.597000+00:00,2023-01-03 03:32:46.597000+00:00,2023-01-03 03:32:52.598000+00:00,2023-01-03 03:32:52.598000+00:00,2023-01-03 03:33:18.604000+00:00,2023-01-03 03:33:48.609000+00:00,2023-01-03 03:35:30.632000+00:00,2023-01-03 03:43:36.701000+00:00,2023-01-03 03:43:38.701000+00:00,2023-01-03 03:44:00.703000+00:00,2023-01-03 03:44:28.707000+00:00,2023-01-03 03:45:46.725000+00:00
1405295,1405295,34,1559600,117,2023-01-03 03:52:00.795000+00:00,2023-01-03 03:57:09.577000+00:00,2023-01-03 04:01:20.872000+00:00,2023-01-03 04:01:20.872000+00:00,2023-01-03 04:01:20.872000+00:00,2023-01-03 04:01:20.872000+00:00,2023-01-03 04:04:04.901000+00:00,2023-01-03 04:10:42.965000+00:00,2023-01-03 04:10:46.966000+00:00,2023-01-03 04:11:12.969000+00:00,2023-01-03 04:11:34.972000+00:00,2023-01-03 04:12:22.977000+00:00
1405317,1405317,34,1559632,117,2023-01-03 04:15:41.040000+00:00,2023-01-03 04:18:14.124000+00:00,2023-01-03 04:27:39.188000+00:00,2023-01-03 04:27:39.188000+00:00,2023-01-03 04:27:39.188000+00:00,2023-01-03 04:27:39.188000+00:00,2023-01-03 04:27:41.188000+00:00,2023-01-03 04:34:01.261000+00:00,2023-01-03 04:34:05.259000+00:00,2023-01-03 04:34:27.262000+00:00,2023-01-03 04:34:47.261000+00:00,2023-01-03 04:35:49.267000+00:00
1405346,1405346,34,1559657,117,2023-01-03 04:39:23.301000+00:00,2023-01-03 04:42:12.355000+00:00,2023-01-03 04:46:35.372000+00:00,2023-01-03 04:46:35.372000+00:00,2023-01-03 04:46:35.372000+00:00,2023-01-03 04:46:35.372000+00:00,2023-01-03 04:49:23.401000+00:00,2023-01-03 04:55:45.472000+00:00,2023-01-03 04:55:47.473000+00:00,2023-01-03 04:56:03.475000+00:00,2023-01-03 04:56:21.475000+00:00,2023-01-03 04:56:57.494000+00:00
1405368,1405368,34,1559681,117,2023-01-03 05:00:35.528000+00:00,2023-01-03 05:02:22.543000+00:00,2023-01-03 05:09:33.607000+00:00,2023-01-03 05:09:33.607000+00:00,2023-01-03 05:09:33.607000+00:00,2023-01-03 05:09:33.607000+00:00,2023-01-03 05:09:35.607000+00:00,2023-01-03 05:15:25.670000+00:00,2023-01-03 05:15:27.669000+00:00,2023-01-03 05:15:51.671000+00:00,2023-01-03 05:16:11.673000+00:00,2023-01-03 05:16:49.675000+00:00
